num_points,train_set_size,best_test_acc,best_epoch,final_train_acc,final_test_acc
1024,1000,72.0827,181,88.2,71.0697
1024,800,68.3955,146,89.875,66.7342
1024,600,63.2091,162,89.6667,61.872
1024,400,56.483,163,90.75,55.2674
1024,200,49.1491,177,93.5,47.812
512,1000,70.3809,173,89.4,68.517
512,800,69.8947,199,91.875,69.6515
512,600,66.3695,194,93.3333,66.0049
512,400,60.859,166,94.75,59.6029
512,200,47.4473,169,79.5,45.5429
256,1000,71.2723,189,87.6,70.7861
256,800,70.8671,198,92.0,69.7731
256,600,68.1524,164,93.1667,66.5721
256,400,62.3177,189,95.25,61.872
256,200,50.2431,186,86.5,47.731
128,1000,69.3274,169,86.3,67.5041
128,800,67.5041,190,88.75,66.7747
128,600,65.7618,197,89.5,62.1556
128,400,60.778,195,91.25,60.0081
128,200,51.7828,200,94.0,51.7828
64,1000,66.2075,155,79.0,65.5186
64,800,65.235,153,79.875,64.8703
64,600,64.06,189,82.1667,62.6418
64,400,60.2512,176,85.0,59.5219
64,200,50.1621,170,85.0,48.7439
