num_points,train_set_size,best_test_acc,best_epoch,final_train_acc,final_test_acc
1024,1000,62.3987,93,81.9,61.5073
1024,800,60.0486,98,85.5,58.3468
1024,600,55.5511,97,88.6667,54.9028
1024,400,52.269,99,89.75,50.6888
1024,200,39.222,74,92.5,37.3987
512,1000,61.3857,89,83.7,60.5348
512,800,59.8055,99,86.125,59.2382
512,600,54.6596,88,86.6667,54.1734
512,400,52.9173,55,89.25,51.4182
512,200,40.5592,75,91.0,39.3436
256,1000,60.4943,100,82.1,60.4943
256,800,58.9546,90,81.875,57.8201
256,600,56.4019,89,84.5,54.9433
256,400,50.4862,77,87.75,48.4603
256,200,41.6126,95,89.5,41.0049
128,1000,60.6969,84,77.5,58.4279
128,800,58.1442,88,78.75,57.5365
128,600,55.47,100,79.8333,55.47
128,400,49.8379,91,81.0,48.7439
128,200,40.9643,69,79.5,39.7893
64,1000,59.1977,95,74.5,57.9417
64,800,56.6045,95,71.5,55.5916
64,600,53.363,85,73.5,52.2285
64,400,48.9465,94,77.0,48.1361
64,200,40.1945,92,76.0,38.128
