num_points,train_set_size,best_test_acc,best_epoch,final_train_acc,final_test_acc
1024,1000,63.9384,191,82.2,61.6288
1024,800,60.4943,169,85.125,58.9141
1024,600,56.7666,149,90.1667,54.7002
1024,400,54.4165,145,92.5,53.7682
1024,200,47.6904,188,93.0,47.0827
512,1000,62.7634,191,79.3,61.9125
512,800,61.872,192,84.625,60.0486
512,600,58.1442,147,86.3333,57.2123
512,400,54.8217,198,89.5,53.7682
512,200,46.5559,182,87.5,44.53
256,1000,62.1151,189,77.5,60.4538
256,800,60.8185,200,84.875,60.8185
256,600,57.4959,196,86.3333,55.2269
256,400,55.47,183,88.75,54.0924
256,200,45.9076,197,90.0,45.1783
128,1000,61.8314,200,73.8,61.8314
128,800,58.4279,162,74.625,57.2528
128,600,56.7666,176,80.6667,56.1994
128,400,52.7553,169,84.25,51.5802
128,200,43.1524,199,90.0,42.1394
64,1000,58.6305,197,68.2,56.9692
64,800,57.8201,186,70.875,55.389
64,600,54.9433,172,74.1667,52.7553
64,400,51.5802,197,75.75,50.4052
64,200,43.5575,109,77.5,41.8963
