num_points,train_set_size,best_test_acc,best_epoch,final_train_acc,final_test_acc
1024,1000,39.7893,172,46.6,38.6953
1024,800,43.517,164,56.625,41.6937
1024,600,46.9611,200,63.8333,46.9611
1024,400,44.53,179,79.75,43.2334
1024,200,41.7747,165,85.5,41.0049
512,1000,45.4619,176,52.4,44.0438
512,800,45.624,185,56.75,43.9222
512,600,48.5413,192,64.6667,46.718
512,400,42.3015,166,68.0,40.7212
512,200,35.5348,142,79.0,34.3598
256,1000,47.9741,197,57.5,47.0421
256,800,47.731,176,62.625,46.637
256,600,46.8801,185,65.8333,45.5429
256,400,44.53,165,74.25,43.517
256,200,38.6143,142,82.5,36.9935
128,1000,48.5818,182,60.6,47.6499
128,800,47.9741,180,64.0,46.9206
128,600,47.6094,190,66.1667,46.4344
128,400,45.5024,194,73.75,45.1783
128,200,40.5592,198,80.0,38.0875
64,1000,49.6353,171,60.2,47.1637
64,800,48.5818,192,62.75,45.6645
64,600,46.5964,151,70.0,44.8136
64,400,43.8006,135,70.5,43.3955
64,200,37.3582,187,68.5,36.6694
